clip,timestamp_s,yaw_deg,split,n_players,n_clusters,ball_lon,best_cluster_idx,c0_lon,c0_size,c0_mean_height,c0_max_height,c0_std_height,c0_spread,c0_dist_to_ball,c1_lon,c1_size,c1_mean_height,c1_max_height,c1_std_height,c1_spread,c1_dist_to_ball,c2_lon,c2_size,c2_mean_height,c2_max_height,c2_std_height,c2_spread,c2_dist_to_ball
VID_20241028_124047_10_010,1018.0,-28.0,train,12,3,-27.051600705327303,1,-42.26170452102504,6,32.56977335611979,56.446044921875,13.905653014853318,9.070730265874877,15.210103815697735,-12.995749934948273,3,27.016031901041668,29.3370361328125,3.222591654326014,2.3693099075711377,14.05585077037903,15.153747972785396,2,63.390380859375,65.8134765625,2.423095703125,3.7946985268672506,42.2053486781127
VID_20241028_124047_10_010,1018.0,-28.0,train,9,2,-24.211935108784424,1,-47.936038119442955,5,37.61802978515625,61.09344482421875,14.20605992969341,5.555683698705057,23.72410301065853,-14.628392927040764,2,31.918197631835938,33.1783447265625,1.2601470947265625,2.081718755373422,9.58354218174366,0.0,0,0.0,0.0,0.0,0.0,0.0
VID_20241028_124047_10_010,1035.0,-14.0,train,13,4,17.082978199137703,2,4.997833258711014,6,37.73307800292969,58.4984130859375,12.437178389530485,5.797112103004934,12.085144940426687,-19.766607004943296,2,22.284408569335938,30.799957275390625,8.515548706054688,1.0441202513748316,36.849585204080995,23.127289241294548,2,23.585067749023438,28.79656982421875,5.2115020751953125,0.17839268958943677,6.044311042156846
VID_20241028_124047_10_010,1035.0,-14.0,train,13,2,16.9594997997887,0,9.0963010046992,9,33.03596327039931,58.1328125,12.561381600186468,10.248972630172279,7.863198795089499,-17.88441777619977,2,23.62786865234375,30.448486328125,6.82061767578125,1.0684576930450636,34.84391757598847,0.0,0,0.0,0.0,0.0,0.0,0.0
VID_20241028_124047_10_010,1124.0,-18.0,train,15,3,21.5792058990871,0,17.944259061190536,7,34.65694318498884,43.59368896484375,6.227872716359469,5.341554303839975,3.634946837896564,-37.63540616255463,5,33.712957763671874,45.540557861328125,8.00932270885351,2.7565656058346106,59.21461206164173,1.291111857171483,2,31.073196411132812,38.782135009765625,7.7089385986328125,2.7053720022586916,20.288094041915617
VID_20241028_124047_10_010,1124.0,-18.0,train,14,3,21.709742820789913,0,19.27229374513164,7,35.11704799107143,45.4442138671875,6.766845227216478,5.158916017874034,2.4374490756582716,-36.09510441462796,4,31.418807983398438,43.5460205078125,9.082475354952287,3.0946817545427514,57.804847235417874,3.0774165156089417,2,29.95269775390625,38.4107666015625,8.45806884765625,2.6698638349080426,18.63232630518097
VID_20241028_124047_10_010,1124.0,-18.0,train,15,2,22.08296154392393,0,10.042787801392045,9,38.47185262044271,86.22711181640625,18.618987740854553,12.148830820990637,12.040173742531884,-36.14769754123711,6,31.092905680338543,43.60809326171875,7.486487325849983,2.639921634167916,58.23065908516104,0.0,0,0.0,0.0,0.0,0.0,0.0
VID_20241028_124047_10_010,1146.0,-28.0,train,17,4,13.163420926864944,0,13.541165834907902,7,37.23059517996652,73.83551025390625,18.05954750554919,3.9422603551787296,0.377744908042958,-31.298058693507024,4,42.30255889892578,75.77587890625,20.934560742337734,5.472657451366182,44.46147962037197,-9.131527232850976,3,35.23070271809896,38.05499267578125,3.4943785466770962,3.530025892898283,22.294948159715922
VID_20241028_124047_10_010,1146.0,-28.0,train,16,2,11.687636446986218,0,14.258309049825808,8,35.530052185058594,76.254638671875,18.59981388343778,3.6275508178830345,2.57067260283959,-29.76019260635868,4,45.031044006347656,85.3070068359375,24.78970965867964,5.500237385313322,41.4478290533449,0.0,0,0.0,0.0,0.0,0.0,0.0
VID_20241028_124047_10_010,1146.0,-28.0,train,15,3,-67.73752947607565,0,-70.46416054685358,7,40.526153564453125,77.599609375,17.875223556287313,3.84316835816504,2.726631070777927,-26.491355742072052,4,45.206932067871094,85.20654296875,24.96952903457292,5.457313431389742,41.2461737340036,-6.788731028165374,2,32.87309265136719,34.59771728515625,1.7246246337890625,2.737845944142874,60.94879844791028
